Season,Race,DriverID,FastestPracticeLap,AvgPracticeLap
2021,Azerbaijan Grand Prix,leclerc,102.436,118.81368292682926
2021,Azerbaijan Grand Prix,stroll,103.682,117.71374999999999
2021,Azerbaijan Grand Prix,tsunoda,103.13,119.02898245614035
2021,Azerbaijan Grand Prix,ocon,103.02,116.78816326530612
2021,Azerbaijan Grand Prix,max_verstappen,102.216,117.4532564102564
2021,Azerbaijan Grand Prix,hamilton,102.697,114.447
2021,Azerbaijan Grand Prix,mick_schumacher,105.282,119.30888235294117
2021,Azerbaijan Grand Prix,sainz,102.243,117.47817500000001
2021,Azerbaijan Grand Prix,russell,104.434,118.78402127659575
2021,Azerbaijan Grand Prix,bottas,103.745,118.86956249999999
2021,Azerbaijan Grand Prix,giovinazzi,102.941,119.2732619047619
2021,French Grand Prix,ricciardo,92.759,113.27387499999999
2021,French Grand Prix,norris,92.336,114.00967391304347
2021,French Grand Prix,vettel,93.2,111.78593333333333
2021,French Grand Prix,latifi,93.584,112.69884
2021,French Grand Prix,raikkonen,93.328,110.35907894736843
2021,French Grand Prix,mazepin,94.642,113.09113043478261
2021,French Grand Prix,gasly,92.707,112.58669565217392
2021,French Grand Prix,perez,92.238,111.53792
2021,French Grand Prix,alonso,92.624,109.29497619047619
2021,French Grand Prix,leclerc,92.82,109.62785714285714
2021,French Grand Prix,stroll,93.051,112.06162499999999
2021,French Grand Prix,tsunoda,92.9,116.05724000000001
2021,French Grand Prix,ocon,92.681,110.72855555555556
2021,French Grand Prix,max_verstappen,91.3,111.69906521739131
2021,French Grand Prix,hamilton,92.266,108.2883953488372
2021,French Grand Prix,nan,97.881,115.50800000000001
2021,French Grand Prix,mick_schumacher,94.143,112.71068421052632
2021,French Grand Prix,sainz,92.195,110.56580000000001
2021,French Grand Prix,bottas,92.047,109.14114285714287
2021,French Grand Prix,giovinazzi,93.017,110.12064285714285
2021,French Grand Prix,russell,93.364,111.22558064516129
2021,Styrian Grand Prix,ricciardo,65.748,80.48476190476191
2021,Styrian Grand Prix,norris,65.228,80.04697619047619
2021,Styrian Grand Prix,vettel,65.492,79.33255696202532
2021,Styrian Grand Prix,latifi,66.119,80.98201369863014
2021,Styrian Grand Prix,mazepin,66.692,83.60737499999999
2021,Styrian Grand Prix,gasly,65.298,85.05029166666667
2021,Styrian Grand Prix,perez,65.026,81.88738271604937
2021,Styrian Grand Prix,alonso,65.4,80.44123595505619
2021,Styrian Grand Prix,leclerc,65.34,83.1009540229885
2021,Styrian Grand Prix,stroll,65.445,79.45863157894736
2021,Styrian Grand Prix,tsunoda,65.15,81.89848314606742
2021,Styrian Grand Prix,ocon,65.676,83.56149397590362
2021,Styrian Grand Prix,max_verstappen,64.57,80.64953164556962
2021,Styrian Grand Prix,hamilton,64.369,85.89234666666667
2021,Styrian Grand Prix,mick_schumacher,65.992,83.44594444444445
2021,Styrian Grand Prix,sainz,65.698,83.6652380952381
2021,Styrian Grand Prix,russell,65.863,81.85572619047619
2021,Styrian Grand Prix,bottas,64.832,80.793
2021,Styrian Grand Prix,nan,67.823,88.53233333333334
2021,Styrian Grand Prix,giovinazzi,65.556,86.36401219512196
2021,Styrian Grand Prix,raikkonen,65.942,83.76626666666667
2021,Austrian Grand Prix,ricciardo,65.698,80.92829166666667
2021,Austrian Grand Prix,norris,65.466,80.79398630136987
2021,Austrian Grand Prix,vettel,65.268,82.10366666666665
2021,Austrian Grand Prix,latifi,66.014,80.8650759493671
2021,Austrian Grand Prix,raikkonen,65.405,85.88993902439024
2021,Austrian Grand Prix,mazepin,66.173,85.36168674698796
2021,Austrian Grand Prix,gasly,65.28,82.50142696629214
2021,Austrian Grand Prix,perez,65.396,82.49474390243903
2021,Austrian Grand Prix,leclerc,65.409,83.88211111111112
2021,Austrian Grand Prix,stroll,65.139,82.13917391304348
2021,Austrian Grand Prix,tsunoda,65.356,83.20942857142856
2021,Austrian Grand Prix,ocon,65.527,83.1647435897436
2021,Austrian Grand Prix,max_verstappen,64.591,80.78788461538461
2021,Austrian Grand Prix,nan,66.414,86.45865384615385
2021,Austrian Grand Prix,hamilton,64.523,85.82151428571429
2021,Austrian Grand Prix,nan,66.683,87.646
2021,Austrian Grand Prix,mick_schumacher,65.636,84.72013749999999
2021,Austrian Grand Prix,sainz,65.347,85.6661724137931
2021,Austrian Grand Prix,bottas,64.712,81.13246666666667
2021,Austrian Grand Prix,nan,66.564,86.4693
2021,Austrian Grand Prix,alonso,65.393,81.59772
2021,Austrian Grand Prix,russell,65.694,85.29276470588235
2021,Austrian Grand Prix,giovinazzi,65.345,85.21859615384616
2021,British Grand Prix,ricciardo,88.211,101.36370454545454
2021,British Grand Prix,norris,87.814,102.13741860465116
2021,British Grand Prix,vettel,88.062,100.15083333333332
2021,British Grand Prix,latifi,89.227,102.61212244897959
2021,British Grand Prix,raikkonen,89.22,101.23432608695653
2021,British Grand Prix,mazepin,89.808,101.48674418604652
2021,British Grand Prix,gasly,88.449,101.22279245283019
2021,British Grand Prix,perez,88.163,98.34062222222224
2021,British Grand Prix,alonso,88.873,99.22297826086955
2021,British Grand Prix,leclerc,87.828,99.99873913043479
2021,British Grand Prix,stroll,89.597,101.56904545454545
2021,British Grand Prix,tsunoda,88.6,100.29436363636363
2021,British Grand Prix,ocon,88.415,98.92022916666667
2021,British Grand Prix,max_verstappen,87.035,97.08
2021,British Grand Prix,hamilton,87.815,99.95692307692308
2021,British Grand Prix,mick_schumacher,89.227,103.94839999999999
2021,British Grand Prix,sainz,87.923,102.27176086956523
2021,British Grand Prix,russell,89.665,102.86137777777778
2021,British Grand Prix,bottas,87.897,97.83355999999999
2021,British Grand Prix,giovinazzi,88.827,100.37349999999999
2021,Hungarian Grand Prix,ricciardo,77.942,95.00160714285714
2021,Hungarian Grand Prix,norris,77.772,94.03332075471697
2021,Hungarian Grand Prix,vettel,78.228,91.1540701754386
2021,Hungarian Grand Prix,latifi,78.821,97.14659322033899
2021,Hungarian Grand Prix,mazepin,79.933,95.12065454545456
2021,Hungarian Grand Prix,gasly,78.113,97.69309230769231
2021,Hungarian Grand Prix,perez,77.824,97.05928260869565
2021,Hungarian Grand Prix,alonso,77.992,93.83398305084745
2021,Hungarian Grand Prix,leclerc,77.52,96.82856896551723
2021,Hungarian Grand Prix,stroll,78.05,92.09586666666668
2021,Hungarian Grand Prix,tsunoda,78.461,98.41133333333333
2021,Hungarian Grand Prix,ocon,77.759,99.33020967741935
2021,Hungarian Grand Prix,max_verstappen,76.914,95.7151224489796
2021,Hungarian Grand Prix,hamilton,76.826,95.50220689655171
2021,Hungarian Grand Prix,mick_schumacher,79.406,94.79579661016949
2021,Hungarian Grand Prix,sainz,77.497,97.24455737704918
2021,Hungarian Grand Prix,russell,78.794,96.43543636363636
2021,Hungarian Grand Prix,bottas,77.012,94.73760344827586
2021,Hungarian Grand Prix,nan,80.639,98.07385000000001
2021,Hungarian Grand Prix,giovinazzi,79.113,99.98807500000001
2021,Hungarian Grand Prix,raikkonen,78.683,96.1742
2021,Belgian Grand Prix,ricciardo,106.118,121.84784848484848
2021,Belgian Grand Prix,norris,105.386,120.46482857142858
2021,Belgian Grand Prix,vettel,105.336,121.85710810810811
2021,Belgian Grand Prix,latifi,106.198,120.90984848484848
2021,Belgian Grand Prix,raikkonen,105.967,117.37239130434783
2021,Belgian Grand Prix,mazepin,107.335,126.25044736842105
2021,Belgian Grand Prix,gasly,104.965,122.51005555555555
2021,Belgian Grand Prix,perez,105.404,123.12303448275861
2021,Belgian Grand Prix,alonso,104.953,121.9700303030303
2021,Belgian Grand Prix,leclerc,105.818,122.61238709677419
2021,Belgian Grand Prix,stroll,105.18,124.92692105263158
2021,Belgian Grand Prix,tsunoda,105.758,123.522
2021,Belgian Grand Prix,ocon,105.302,122.30227586206897
2021,Belgian Grand Prix,max_verstappen,104.472,118.84943478260868
2021,Belgian Grand Prix,hamilton,104.544,117.60396153846153
2021,Belgian Grand Prix,mick_schumacher,107.529,124.7196111111111
2021,Belgian Grand Prix,sainz,105.517,121.70663333333333
2021,Belgian Grand Prix,russell,106.665,120.3915
2021,Belgian Grand Prix,bottas,104.513,120.6263
2021,Belgian Grand Prix,giovinazzi,105.789,122.56364705882352
2021,Dutch Grand Prix,ricciardo,71.013,88.82929787234042
2021,Dutch Grand Prix,norris,70.781,88.4258
2021,Dutch Grand Prix,vettel,70.872,87.77489743589743
2021,Dutch Grand Prix,latifi,71.083,89.94434
2021,Dutch Grand Prix,nan,72.206,86.05769047619047
2021,Dutch Grand Prix,mazepin,72.136,90.53368421052632
2021,Dutch Grand Prix,gasly,71.005,88.01718518518518
2021,Dutch Grand Prix,perez,70.526,90.33103773584905
2021,Dutch Grand Prix,alonso,70.67,86.36303921568629
2021,Dutch Grand Prix,leclerc,70.896,88.06184905660378
2021,Dutch Grand Prix,stroll,70.842,85.64347169811322
2021,Dutch Grand Prix,tsunoda,71.98,88.90107692307691
2021,Dutch Grand Prix,ocon,71.074,88.01177049180328
2021,Dutch Grand Prix,max_verstappen,69.623,87.50008695652174
2021,Dutch Grand Prix,hamilton,70.417,89.57224242424242
2021,Dutch Grand Prix,mick_schumacher,72.366,88.33684210526316
2021,Dutch Grand Prix,sainz,71.056,88.37978571428572
2021,Dutch Grand Prix,russell,71.274,88.56209999999999
2021,Dutch Grand Prix,bottas,70.179,89.34598245614035
2021,Dutch Grand Prix,giovinazzi,71.299,88.49282142857143
2021,Dutch Grand Prix,kubica,72.162,86.77973913043478
2021,Italian Grand Prix,ricciardo,81.474,94.57646666666666
2021,Italian Grand Prix,norris,81.202,94.38348979591836
2021,Italian Grand Prix,vettel,81.824,95.7718
2021,Italian Grand Prix,latifi,83.442,94.38667391304348
2021,Italian Grand Prix,mazepin,83.445,93.38092105263158
2021,Italian Grand Prix,gasly,81.719,94.75231914893618
2021,Italian Grand Prix,perez,82.039,91.04221739130435
2021,Italian Grand Prix,alonso,81.926,90.4874705882353
2021,Italian Grand Prix,leclerc,81.802,93.79620512820513
2021,Italian Grand Prix,stroll,81.676,93.80280952380951
2021,Italian Grand Prix,tsunoda,82.53,93.3102456140351
2021,Italian Grand Prix,ocon,82.534,92.69768292682927
2021,Italian Grand Prix,max_verstappen,81.378,90.27184210526316
2021,Italian Grand Prix,hamilton,80.926,93.66189130434783
2021,Italian Grand Prix,mick_schumacher,83.551,92.6834358974359
2021,Italian Grand Prix,sainz,81.914,95.59620588235293
2021,Italian Grand Prix,russell,83.092,93.19339583333334
2021,Italian Grand Prix,bottas,81.451,94.14482978723404
2021,Italian Grand Prix,kubica,83.009,96.90239215686275
2021,Italian Grand Prix,giovinazzi,82.27,93.76400000000001
2021,Russian Grand Prix,ricciardo,95.63,111.25292592592592
2021,Russian Grand Prix,norris,94.154,111.38928571428572
2021,Russian Grand Prix,vettel,94.837,106.10065714285714
2021,Russian Grand Prix,latifi,95.411,110.28512903225807
2021,Russian Grand Prix,raikkonen,95.052,109.99040625
2021,Russian Grand Prix,mazepin,96.099,111.83909677419355
2021,Russian Grand Prix,gasly,93.845,111.99208333333334
2021,Russian Grand Prix,perez,94.938,106.98673529411765
2021,Russian Grand Prix,alonso,94.762,112.41766666666666
2021,Russian Grand Prix,leclerc,94.925,107.63144117647059
2021,Russian Grand Prix,stroll,95.334,105.49093548387097
2021,Russian Grand Prix,tsunoda,95.954,111.11295
2021,Russian Grand Prix,ocon,94.402,107.63324324324324
2021,Russian Grand Prix,max_verstappen,94.621,107.76545833333334
2021,Russian Grand Prix,hamilton,93.637,106.53445161290323
2021,Russian Grand Prix,mick_schumacher,96.23,111.14325714285715
2021,Russian Grand Prix,sainz,94.678,110.29711111111111
2021,Russian Grand Prix,russell,95.094,111.7105625
2021,Russian Grand Prix,bottas,93.593,107.5715
2021,Russian Grand Prix,giovinazzi,95.178,112.5178076923077
2021,Turkish Grand Prix,ricciardo,84.975,101.90687272727273
2021,Turkish Grand Prix,norris,84.525,101.40370909090909
2021,Turkish Grand Prix,vettel,85.229,99.747
2021,Turkish Grand Prix,latifi,85.307,101.70385454545455
2021,Turkish Grand Prix,raikkonen,85.143,103.64759649122807
2021,Turkish Grand Prix,mazepin,85.698,101.39801785714285
2021,Turkish Grand Prix,gasly,84.756,100.56545714285714
2021,Turkish Grand Prix,perez,84.373,101.48494642857143
2021,Turkish Grand Prix,alonso,84.66,102.57032653061225
2021,Turkish Grand Prix,leclerc,83.97,103.76680327868851
2021,Turkish Grand Prix,stroll,85.02,100.02522580645162
2021,Turkish Grand Prix,tsunoda,84.882,105.17449275362318
2021,Turkish Grand Prix,ocon,84.672,102.19568333333333
2021,Turkish Grand Prix,max_verstappen,84.439,102.58533333333334
2021,Turkish Grand Prix,hamilton,83.804,97.10512244897959
2021,Turkish Grand Prix,mick_schumacher,85.48,102.61165079365078
2021,Turkish Grand Prix,sainz,84.86,100.92897183098592
2021,Turkish Grand Prix,russell,85.358,99.38945652173913
2021,Turkish Grand Prix,bottas,84.214,100.63826315789474
2021,Turkish Grand Prix,giovinazzi,84.796,107.397765625
2021,United States Grand Prix,ricciardo,95.345,109.99202631578947
2021,United States Grand Prix,norris,94.945,107.6913448275862
2021,United States Grand Prix,vettel,95.851,106.81894117647057
2021,United States Grand Prix,latifi,96.118,109.43285
2021,United States Grand Prix,raikkonen,96.062,112.15159090909091
2021,United States Grand Prix,mazepin,97.344,113.304
2021,United States Grand Prix,gasly,95.398,109.07248717948718
2021,United States Grand Prix,perez,94.701,111.12127906976744
2021,United States Grand Prix,alonso,96.376,107.17487096774192
2021,United States Grand Prix,leclerc,95.343,112.06360975609756
2021,United States Grand Prix,stroll,95.561,107.76348837209302
2021,United States Grand Prix,tsunoda,96.572,107.96875675675676
2021,United States Grand Prix,ocon,95.711,107.9306388888889
2021,United States Grand Prix,max_verstappen,94.383,109.95294594594594
2021,United States Grand Prix,hamilton,94.458,104.32282857142857
2021,United States Grand Prix,mick_schumacher,96.671,114.81058974358974
2021,United States Grand Prix,sainz,94.805,108.78687804878048
2021,United States Grand Prix,russell,96.023,110.87618421052632
2021,United States Grand Prix,bottas,94.874,111.31002702702702
2021,United States Grand Prix,giovinazzi,96.138,109.85131578947369
2021,Mexico City Grand Prix,ricciardo,78.121,94.33139024390243
2021,Mexico City Grand Prix,norris,78.312,92.94038333333333
2021,Mexico City Grand Prix,vettel,78.614,90.45629411764706
2021,Mexico City Grand Prix,latifi,79.313,92.92697727272727
2021,Mexico City Grand Prix,raikkonen,78.531,92.83770769230769
2021,Mexico City Grand Prix,mazepin,80.479,96.31708620689655
2021,Mexico City Grand Prix,gasly,78.202,92.72943548387097
2021,Mexico City Grand Prix,perez,77.024,94.95851851851852
2021,Mexico City Grand Prix,alonso,78.732,91.06655
2021,Mexico City Grand Prix,leclerc,78.213,96.16965
2021,Mexico City Grand Prix,stroll,78.352,94.9055890410959
2021,Mexico City Grand Prix,tsunoda,78.037,95.99212
2021,Mexico City Grand Prix,ocon,78.999,92.3700447761194
2021,Mexico City Grand Prix,max_verstappen,77.217,91.91063333333334
2021,Mexico City Grand Prix,hamilton,77.675,94.14686538461538
2021,Mexico City Grand Prix,mick_schumacher,79.238,94.031
2021,Mexico City Grand Prix,sainz,78.029,96.6309090909091
2021,Mexico City Grand Prix,russell,79.211,95.98342105263157
2021,Mexico City Grand Prix,bottas,77.708,94.46401538461538
2021,Mexico City Grand Prix,giovinazzi,78.556,95.7896811594203
2021,São Paulo Grand Prix,ricciardo,70.99,81.55902272727272
2021,São Paulo Grand Prix,norris,70.61,81.88827272727272
2021,São Paulo Grand Prix,vettel,70.413,83.465359375
2021,São Paulo Grand Prix,latifi,70.902,81.70048837209302
2021,São Paulo Grand Prix,raikkonen,70.443,79.38044615384615
2021,São Paulo Grand Prix,mazepin,71.342,82.29140677966102
2021,São Paulo Grand Prix,gasly,69.88,83.12161016949153
2021,São Paulo Grand Prix,perez,69.492,80.26417647058824
2021,São Paulo Grand Prix,alonso,70.201,80.91625
2021,São Paulo Grand Prix,leclerc,70.142,81.61131666666667
2021,São Paulo Grand Prix,stroll,70.352,85.13417741935484
2021,São Paulo Grand Prix,tsunoda,70.374,81.85813636363636
2021,São Paulo Grand Prix,ocon,70.145,80.722
2021,São Paulo Grand Prix,max_verstappen,69.417,79.25162790697675
2021,São Paulo Grand Prix,hamilton,69.05,85.40146
2021,São Paulo Grand Prix,mick_schumacher,70.885,81.12515
2021,São Paulo Grand Prix,sainz,70.124,84.42164912280701
2021,São Paulo Grand Prix,russell,70.938,81.95315909090908
2021,São Paulo Grand Prix,bottas,69.567,85.36504081632653
2021,São Paulo Grand Prix,giovinazzi,70.587,81.3445873015873
2021,Qatar Grand Prix,ricciardo,83.711,106.99517307692307
2021,Qatar Grand Prix,norris,83.632,108.13579166666666
2021,Qatar Grand Prix,vettel,83.884,106.5192962962963
2021,Qatar Grand Prix,latifi,84.499,104.59991228070174
2021,Qatar Grand Prix,raikkonen,84.246,105.91675806451613
