Season,Race,DriverID,QualiGridPos,RaceGridPos,RacePosition,Q1_Rank,Q2_Rank,QualiStage
2021,United States Grand Prix,sainz,6.0,5.0,7.0,6.0,6.0,3
2021,United States Grand Prix,russell,15.0,20.0,14.0,12.0,,2
2021,United States Grand Prix,bottas,4.0,9.0,6.0,9.0,5.0,3
2021,United States Grand Prix,giovinazzi,13.0,12.0,11.0,15.0,13.0,2
2021,Mexico City Grand Prix,norris,10.0,18.0,10.0,10.0,10.0,3
2021,Mexico City Grand Prix,vettel,11.0,9.0,7.0,8.0,11.0,2
2021,Mexico City Grand Prix,latifi,17.0,13.0,17.0,17.0,,1
2021,Mexico City Grand Prix,raikkonen,12.0,10.0,8.0,11.0,12.0,2
2021,Mexico City Grand Prix,mazepin,19.0,15.0,18.0,19.0,,1
2021,Mexico City Grand Prix,alonso,16.0,12.0,9.0,16.0,,1
2021,Mexico City Grand Prix,tsunoda,9.0,17.0,20.0,7.0,3.0,3
2021,Mexico City Grand Prix,ocon,15.0,19.0,13.0,15.0,15.0,2
2021,Mexico City Grand Prix,mick_schumacher,18.0,14.0,19.0,18.0,,1
2021,Mexico City Grand Prix,russell,13.0,16.0,16.0,14.0,13.0,2
2021,Mexico City Grand Prix,giovinazzi,14.0,11.0,11.0,13.0,14.0,2
2021,São Paulo Grand Prix,ricciardo,9.0,11.0,19.0,11.0,9.0,3
2021,São Paulo Grand Prix,norris,8.0,5.0,10.0,10.0,7.0,3
2021,São Paulo Grand Prix,vettel,12.0,9.0,11.0,14.0,12.0,2
2021,São Paulo Grand Prix,latifi,17.0,16.0,16.0,17.0,,1
2021,São Paulo Grand Prix,raikkonen,14.0,20.0,12.0,15.0,14.0,2
2021,São Paulo Grand Prix,mazepin,20.0,19.0,17.0,20.0,,1
2021,São Paulo Grand Prix,gasly,5.0,7.0,7.0,8.0,5.0,3
2021,São Paulo Grand Prix,alonso,10.0,12.0,9.0,12.0,10.0,3
2021,São Paulo Grand Prix,leclerc,7.0,6.0,5.0,4.0,4.0,3
2021,São Paulo Grand Prix,stroll,16.0,14.0,20.0,16.0,,1
2021,São Paulo Grand Prix,tsunoda,13.0,15.0,15.0,9.0,13.0,2
2021,São Paulo Grand Prix,ocon,11.0,8.0,8.0,13.0,11.0,2
2021,São Paulo Grand Prix,hamilton,1.0,10.0,1.0,1.0,1.0,3
2021,São Paulo Grand Prix,mick_schumacher,19.0,18.0,18.0,19.0,,1
2021,São Paulo Grand Prix,sainz,6.0,3.0,6.0,3.0,8.0,3
2021,São Paulo Grand Prix,russell,18.0,17.0,13.0,18.0,,1
2021,São Paulo Grand Prix,bottas,3.0,1.0,3.0,2.0,2.0,3
2021,São Paulo Grand Prix,giovinazzi,15.0,13.0,14.0,7.0,15.0,2
2021,Qatar Grand Prix,norris,6.0,4.0,9.0,14.0,9.0,3
2021,Qatar Grand Prix,gasly,4.0,2.0,11.0,8.0,2.0,3
2021,Qatar Grand Prix,alonso,5.0,3.0,3.0,6.0,3.0,3
2021,Qatar Grand Prix,max_verstappen,2.0,7.0,2.0,2.0,4.0,3
2021,Qatar Grand Prix,sainz,7.0,5.0,7.0,4.0,10.0,3
2021,Qatar Grand Prix,bottas,3.0,6.0,20.0,3.0,5.0,3
2022,Saudi Arabian Grand Prix,ricciardo,12.0,14.0,17.0,12.0,12.0,2
2022,Saudi Arabian Grand Prix,latifi,19.0,18.0,18.0,18.0,,1
2022,Saudi Arabian Grand Prix,stroll,15.0,13.0,13.0,14.0,14.0,2
2022,Saudi Arabian Grand Prix,albon,17.0,16.0,14.0,16.0,,1
2022,Saudi Arabian Grand Prix,zhou,13.0,12.0,11.0,10.0,13.0,2
2022,Saudi Arabian Grand Prix,hulkenberg,18.0,17.0,12.0,17.0,,1
2022,Saudi Arabian Grand Prix,hamilton,16.0,15.0,10.0,15.0,,1
