Season,Race,DriverID,FastestPracticeLap,AvgPracticeLap,Q1Time,Q2Time,Q3Time,QualiGridPos,RaceGridPos,RacePosition
2021,Monaco Grand Prix,max_verstappen,71.294,85.22196154,71.124,70.65,70.576,2,2,1
2021,Monaco Grand Prix,hamilton,72.02,84.93091667,71.622,71.116,71.095,7,7,7
2021,Monaco Grand Prix,mick_schumacher,73.139,86.71652778,,,,,20,18
2021,Monaco Grand Prix,sainz,71.341,86.81402439,71.324,70.806,70.611,4,4,2
2021,Monaco Grand Prix,russell,73.447,83.50623864,72.016,71.83,,15,15,14
2021,Monaco Grand Prix,bottas,71.765,83.7104125,70.938,70.695,70.601,3,3,19
2021,Monaco Grand Prix,giovinazzi,72.539,82.95998507,71.658,71.409,71.779,10,10,10
2021,Azerbaijan Grand Prix,ricciardo,103.298,116.2957308,102.304,102.558,,13,13,9
2021,Azerbaijan Grand Prix,norris,103.011,116.9358776,102.167,101.813,101.747,6,9,5
2021,Azerbaijan Grand Prix,vettel,103.585,117.3622609,102.46,102.224,,11,11,2
2021,Azerbaijan Grand Prix,latifi,104.054,125.0937941,103.128,,,16,16,16
2021,Azerbaijan Grand Prix,raikkonen,103.22,120.0103659,102.923,102.587,,14,14,10
2021,Azerbaijan Grand Prix,mazepin,105.563,117.8569487,104.238,,,18,18,14
2021,Azerbaijan Grand Prix,gasly,102.251,117.564551,102.288,101.932,101.565,4,4,3
2021,Azerbaijan Grand Prix,perez,102.115,117.3073333,101.968,101.63,101.917,7,6,1
2021,Azerbaijan Grand Prix,alonso,102.693,116.2904706,102.934,102.195,102.327,9,8,6
2021,Azerbaijan Grand Prix,leclerc,102.436,118.8136829,102.241,101.659,101.218,1,1,4
2021,Azerbaijan Grand Prix,stroll,103.682,117.71375,,,,19,19,19
2021,Azerbaijan Grand Prix,tsunoda,103.13,119.0289825,102.521,101.654,102.211,8,7,7
2021,Azerbaijan Grand Prix,ocon,103.02,116.7881633,102.426,102.273,,12,12,20
2021,Azerbaijan Grand Prix,max_verstappen,102.216,117.4532564,101.76,101.625,101.563,3,3,18
2021,Azerbaijan Grand Prix,hamilton,102.697,114.447,101.545,101.634,101.45,2,2,15
2021,Azerbaijan Grand Prix,mick_schumacher,105.282,119.3088824,104.158,,,17,17,13
2021,Azerbaijan Grand Prix,sainz,102.243,117.478175,102.121,101.74,101.576,5,5,8
2021,Azerbaijan Grand Prix,russell,104.434,118.7840213,102.728,102.758,,15,15,17
2021,Azerbaijan Grand Prix,bottas,103.745,118.8695625,102.701,102.106,102.659,10,10,12
2021,Azerbaijan Grand Prix,giovinazzi,102.941,119.2732619,,,,20,20,11
2021,French Grand Prix,ricciardo,92.759,113.273875,92.181,91.615,91.382,10,10,6
2021,French Grand Prix,norris,92.336,114.0096739,91.733,91.542,91.252,8,8,5
2021,French Grand Prix,vettel,93.2,111.7859333,92.132,91.767,,12,12,9
2021,French Grand Prix,latifi,93.584,112.69884,93.062,,,16,16,18
2021,French Grand Prix,raikkonen,93.328,110.3590789,93.354,,,17,17,17
2021,French Grand Prix,mazepin,94.642,113.0911304,93.554,,,18,18,20
2021,French Grand Prix,gasly,92.707,112.5866957,91.898,91.353,90.868,6,6,7
2021,French Grand Prix,perez,92.238,111.53792,91.56,90.971,90.445,4,4,3
2021,French Grand Prix,alonso,92.624,109.2949762,92.158,91.549,91.34,9,9,8
2021,French Grand Prix,leclerc,92.82,109.6278571,92.209,91.567,90.987,7,7,16
2021,French Grand Prix,stroll,93.051,112.061625,,,,19,19,10
2021,French Grand Prix,tsunoda,92.9,116.05724,,,,20,0,13
2021,French Grand Prix,ocon,92.681,110.7285556,92.139,91.736,,11,11,14
2021,French Grand Prix,max_verstappen,91.3,111.6990652,91.001,91.08,89.99,1,1,1
2021,French Grand Prix,hamilton,92.266,108.2883953,91.237,90.788,90.248,2,2,2
2021,French Grand Prix,,97.881,115.508,,,,,,
2021,French Grand Prix,mick_schumacher,94.143,112.7106842,92.942,,,15,15,19
2021,French Grand Prix,sainz,92.195,110.5658,92.079,91.146,90.84,5,5,11
2021,French Grand Prix,bottas,92.047,109.1411429,91.669,90.735,90.376,3,3,4
2021,French Grand Prix,giovinazzi,93.017,110.1206429,92.722,91.813,,13,13,15
2021,French Grand Prix,russell,93.364,111.2255806,93.06,92.065,,14,14,12
2021,Styrian Grand Prix,ricciardo,65.748,80.4847619,65.142,64.808,,13,13,13
2021,Styrian Grand Prix,norris,65.228,80.04697619,64.584,64.298,64.12,4,3,5
2021,Styrian Grand Prix,vettel,65.492,79.33255696,65.051,64.875,,14,14,12
2021,Styrian Grand Prix,latifi,66.119,80.9820137,65.175,,,16,16,17
2021,Styrian Grand Prix,mazepin,66.692,83.607375,66.192,,,20,20,18
2021,Styrian Grand Prix,gasly,65.298,85.05029167,64.765,64.429,64.236,6,6,20
2021,Styrian Grand Prix,perez,65.026,81.88738272,64.638,64.197,64.168,5,4,4
2021,Styrian Grand Prix,alonso,65.4,80.44123596,64.971,64.582,64.574,9,8,9
2021,Styrian Grand Prix,leclerc,65.34,83.10095402,64.745,64.646,64.472,7,7,7
2021,Styrian Grand Prix,stroll,65.445,79.45863158,64.821,64.663,64.708,10,9,8
2021,Styrian Grand Prix,tsunoda,65.15,81.89848315,64.608,64.631,64.514,8,11,10
2021,Styrian Grand Prix,ocon,65.676,83.56149398,65.217,,,17,17,14
2021,Styrian Grand Prix,max_verstappen,64.57,80.64953165,64.489,64.433,63.841,1,1,1
2021,Styrian Grand Prix,hamilton,64.369,85.89234667,64.672,64.512,64.067,3,2,2
2021,Styrian Grand Prix,mick_schumacher,65.992,83.44594444,66.041,,,19,19,16
2021,Styrian Grand Prix,sainz,65.698,83.6652381,64.859,64.8,,12,12,6
2021,Styrian Grand Prix,russell,65.863,81.85572619,65.033,64.671,,11,10,19
2021,Styrian Grand Prix,bottas,64.832,80.793,64.537,64.443,64.035,2,5,3
2021,Styrian Grand Prix,,67.823,88.53233333,,,,,,
2021,Styrian Grand Prix,giovinazzi,65.556,86.3640122,65.092,64.913,,15,15,15
2021,Styrian Grand Prix,raikkonen,65.942,83.76626667,65.429,,,18,18,11
2021,Austrian Grand Prix,ricciardo,65.698,80.92829167,64.977,64.719,,13,13,7
2021,Austrian Grand Prix,norris,65.466,80.7939863,64.345,64.415,63.768,2,2,3
2021,Austrian Grand Prix,vettel,65.268,82.10366667,64.846,64.493,64.57,8,11,17
2021,Austrian Grand Prix,latifi,66.014,80.86507595,65.195,,,18,18,16
2021,Austrian Grand Prix,raikkonen,65.405,85.88993902,65.009,,,16,16,15
2021,Austrian Grand Prix,mazepin,66.173,85.36168675,65.951,,,20,20,19
2021,Austrian Grand Prix,gasly,65.28,82.50142697,64.841,64.412,64.107,6,6,9
2021,Austrian Grand Prix,perez,65.396,82.4947439,64.833,64.483,63.99,3,3,6
2021,Austrian Grand Prix,leclerc,65.409,83.88211111,64.906,64.6,,12,12,8
2021,Austrian Grand Prix,stroll,65.139,82.13917391,64.927,64.547,64.618,10,9,13
2021,Austrian Grand Prix,tsunoda,65.356,83.20942857,64.967,64.518,64.273,7,7,12
2021,Austrian Grand Prix,ocon,65.527,83.16474359,65.051,,,17,17,20
2021,Austrian Grand Prix,max_verstappen,64.591,80.78788462,64.249,63.927,63.72,1,1,1
2021,Austrian Grand Prix,,66.414,86.45865385,,,,,,
2021,Austrian Grand Prix,hamilton,64.523,85.82151429,64.506,64.258,64.014,4,4,4
2021,Austrian Grand Prix,,66.683,87.646,,,,,,
2021,Austrian Grand Prix,mick_schumacher,65.636,84.7201375,65.427,,,19,19,18
2021,Austrian Grand Prix,sainz,65.347,85.66617241,64.596,64.559,,11,10,5
2021,Austrian Grand Prix,bottas,64.712,81.13246667,64.563,64.376,64.049,5,5,2
2021,Austrian Grand Prix,,66.564,86.4693,,,,,,
2021,Austrian Grand Prix,alonso,65.393,81.59772,64.472,64.856,,14,14,10
2021,Austrian Grand Prix,russell,65.694,85.29276471,64.907,64.553,64.591,9,8,11
2021,Austrian Grand Prix,giovinazzi,65.345,85.21859615,64.782,65.083,,15,15,14
2021,British Grand Prix,ricciardo,88.211,101.3637045,87.323,87.125,86.899,7,6,5
2021,British Grand Prix,norris,87.814,102.1374186,87.444,87.22,86.897,6,5,4
