Season,Race,DriverID,FastestPracticeLap,AvgPracticeLap,Q1Time,Q2Time,Q3Time,QualiGridPos,RaceGridPos,RacePosition
2021,Austrian Grand Prix,vettel,65.268,82.10366666666665,64.846,64.493,64.57,8.0,11.0,17.0
2021,Austrian Grand Prix,latifi,66.014,80.8650759493671,65.195,,,18.0,18.0,16.0
2021,Austrian Grand Prix,raikkonen,65.405,85.88993902439024,65.009,,,16.0,16.0,15.0
2021,Austrian Grand Prix,mazepin,66.173,85.36168674698796,65.951,,,20.0,20.0,19.0
2021,Austrian Grand Prix,gasly,65.28,82.50142696629214,64.841,64.412,64.107,6.0,6.0,9.0
2021,Austrian Grand Prix,perez,65.396,82.49474390243903,64.833,64.483,63.99,3.0,3.0,6.0
2021,Austrian Grand Prix,leclerc,65.409,83.88211111111112,64.906,64.6,,12.0,12.0,8.0
2021,Austrian Grand Prix,stroll,65.139,82.13917391304348,64.927,64.547,64.618,10.0,9.0,13.0
2021,Austrian Grand Prix,tsunoda,65.356,83.20942857142856,64.967,64.518,64.273,7.0,7.0,12.0
2021,Austrian Grand Prix,ocon,65.527,83.1647435897436,65.051,,,17.0,17.0,20.0
2021,Austrian Grand Prix,max_verstappen,64.591,80.78788461538461,64.249,63.927,63.72,1.0,1.0,1.0
2021,Austrian Grand Prix,,66.414,86.45865384615385,,,,,,
2021,Austrian Grand Prix,hamilton,64.523,85.82151428571429,64.506,64.258,64.014,4.0,4.0,4.0
2021,Austrian Grand Prix,,66.683,87.646,,,,,,
2021,Austrian Grand Prix,mick_schumacher,65.636,84.72013749999999,65.427,,,19.0,19.0,18.0
2021,Austrian Grand Prix,sainz,65.347,85.6661724137931,64.596,64.559,,11.0,10.0,5.0
2021,Austrian Grand Prix,bottas,64.712,81.13246666666667,64.563,64.376,64.049,5.0,5.0,2.0
2021,Austrian Grand Prix,,66.564,86.4693,,,,,,
2021,Austrian Grand Prix,alonso,65.393,81.59772,64.472,64.856,,14.0,14.0,10.0
2021,Austrian Grand Prix,russell,65.694,85.29276470588235,64.907,64.553,64.591,9.0,8.0,11.0
2021,Austrian Grand Prix,giovinazzi,65.345,85.21859615384616,64.782,65.083,,15.0,15.0,14.0
2021,British Grand Prix,ricciardo,88.211,101.36370454545454,87.323,87.125,86.899,7.0,6.0,5.0
2021,British Grand Prix,norris,87.814,102.13741860465116,87.444,87.22,86.897,6.0,5.0,4.0
2021,British Grand Prix,vettel,88.062,100.15083333333332,87.493,87.103,87.179,10.0,8.0,19.0
2021,British Grand Prix,latifi,89.227,102.6121224489796,88.254,,,18.0,17.0,14.0
